Start Time, Thu Jan 1 00:00:00 GMT+0000 2009,,
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s),172800,,
Real Time (s),172808.1813,,
Elapsed Computational,0,,
Spectrum,,,
Channel, Energy (keV), Counts,
1,1,1,
2,2,0,
3,3,0,
4,4,53,
5,5,553,
6,6,1053,
7,7,1553,
8,8,1135,
9,9,1018,
10,10,939,
11,11,897,
12,12,853,
13,13,814,
14,14,841,
15,15,886,
16,16,881,
17,17,891,
18,18,966,
19,19,942,
20,20,952,
21,21,1009,
22,22,967,
23,23,1064,
24,24,963,
25,25,928,
26,26,840,
27,27,812,
28,28,771,
29,29,773,
30,30,749,
31,31,781,
32,32,867,
33,33,894,
34,34,865,
35,35,907,
36,36,915,
37,37,917,
38,38,948,
39,39,951,
40,40,941,
41,41,944,
42,42,988,
43,43,965,
44,44,953,
45,45,934,
46,46,989,
47,47,981,
48,48,1075,
49,49,1137,
50,50,1266,
51,51,1305,
52,52,1466,
53,53,1563,
54,54,1738,
55,55,1916,
56,56,2068,
57,57,2183,
58,58,2243,
59,59,2302,
60,60,2168,
61,61,1996,
62,62,1842,
63,63,1744,
64,64,1522,
65,65,1554,
66,66,1515,
67,67,1560,
68,68,1605,
69,69,1631,
70,70,1708,
71,71,1849,
72,72,1791,
73,73,1815,
74,74,1967,
75,75,1935,
76,76,2095,
77,77,2193,
78,78,2257,
79,79,2410,
80,80,2605,
81,81,2890,
82,82,3118,
83,83,3468,
84,84,3906,
85,85,4242,
86,86,4827,
87,87,5350,
88,88,5806,
89,89,6022,
90,90,6425,
91,91,6339,
92,92,6305,
93,93,5987,
94,94,5680,
95,95,5266,
96,96,4940,
97,97,4647,
98,98,4453,
99,99,4356,
100,100,4149,
101,101,4190,
102,102,4140,
103,103,4137,
104,104,3974,
105,105,3829,
106,106,3664,
107,107,3412,
108,108,3298,
109,109,3026,
110,110,2969,
111,111,2865,
112,112,2695,
113,113,2701,
114,114,2733,
115,115,2525,
116,116,2581,
117,117,2664,
118,118,2575,
119,119,2538,
120,120,2496,
121,121,2560,
122,122,2537,
123,123,2454,
124,124,2557,
125,125,2581,
126,126,2519,
127,127,2618,
128,128,2514,
129,129,2536,
130,130,2494,
131,131,2500,
132,132,2533,
133,133,2491,
134,134,2548,
135,135,2529,
136,136,2586,
137,137,2445,
138,138,2536,
139,139,2553,
140,140,2415,
141,141,2493,
142,142,2460,
143,143,2469,
144,144,2490,
145,145,2473,
146,146,2507,
147,147,2473,
148,148,2475,
149,149,2480,
150,150,2412,
151,151,2377,
152,152,2424,
153,153,2399,
154,154,2336,
155,155,2393,
156,156,2334,
157,157,2393,
158,158,2331,
159,159,2302,
160,160,2296,
161,161,2288,
162,162,2263,
163,163,2218,
164,164,2383,
165,165,2242,
166,166,2217,
167,167,2219,
168,168,2260,
169,169,2208,
170,170,2190,
171,171,2219,
172,172,2191,
173,173,2069,
174,174,2115,
175,175,2102,
176,176,2112,
177,177,2090,
178,178,2037,
179,179,2048,
180,180,2054,
181,181,2089,
182,182,2008,
183,183,1988,
184,184,1952,
185,185,1906,
186,186,1985,
187,187,1928,
188,188,1994,
189,189,2017,
190,190,1858,
191,191,1864,
192,192,1960,
193,193,1849,
194,194,1970,
195,195,1911,
196,196,1932,
197,197,1866,
198,198,1835,
199,199,1825,
200,200,1782,
201,201,1828,
202,202,1787,
203,203,1784,
204,204,1824,
205,205,1769,
206,206,1722,
207,207,1807,
208,208,1774,
209,209,1816,
210,210,1821,
211,211,1739,
212,212,1735,
213,213,1742,
214,214,1686,
215,215,1714,
216,216,1710,
217,217,1697,
218,218,1664,
219,219,1625,
220,220,1706,
221,221,1651,
222,222,1550,
223,223,1666,
224,224,1666,
225,225,1613,
226,226,1601,
227,227,1625,
228,228,1605,
229,229,1605,
230,230,1554,
231,231,1550,
232,232,1515,
233,233,1571,
234,234,1555,
235,235,1570,
236,236,1505,
237,237,1530,
238,238,1612,
239,239,1452,
240,240,1524,
241,241,1529,
242,242,1391,
243,243,1445,
244,244,1468,
245,245,1428,
246,246,1447,
247,247,1484,
248,248,1502,
249,249,1471,
250,250,1474,
251,251,1499,
252,252,1470,
253,253,1485,
254,254,1445,
255,255,1465,
256,256,1594,
257,257,1472,
258,258,1457,
259,259,1445,
260,260,1440,
261,261,1457,
262,262,1435,
263,263,1469,
264,264,1455,
265,265,1392,
266,266,1364,
267,267,1358,
268,268,1348,
269,269,1344,
270,270,1364,
271,271,1341,
272,272,1305,
273,273,1316,
274,274,1215,
275,275,1245,
276,276,1246,
277,277,1236,
278,278,1171,
279,279,1199,
280,280,1158,
281,281,1197,
282,282,1202,
283,283,1100,
284,284,1118,
285,285,1153,
286,286,1134,
287,287,1154,
288,288,1085,
289,289,1119,
290,290,1114,
291,291,1070,
292,292,1123,
293,293,1063,
294,294,1043,
295,295,1059,
296,296,1054,
297,297,1095,
298,298,1081,
299,299,1020,
300,300,1034,
301,301,1036,
302,302,1039,
303,303,1017,
304,304,1052,
305,305,1010,
306,306,1009,
307,307,983,
308,308,944,
309,309,1008,
310,310,963,
311,311,983,
312,312,1016,
313,313,944,
314,314,919,
315,315,927,
316,316,976,
317,317,951,
318,318,998,
319,319,966,
320,320,946,
321,321,908,
322,322,895,
323,323,920,
324,324,901,
325,325,946,
326,326,919,
327,327,898,
328,328,885,
329,329,890,
330,330,896,
331,331,905,
332,332,913,
333,333,869,
334,334,838,
335,335,822,
336,336,825,
337,337,824,
338,338,806,
339,339,827,
340,340,792,
341,341,842,
342,342,824,
343,343,836,
344,344,841,
345,345,825,
346,346,772,
347,347,806,
348,348,753,
349,349,807,
350,350,779,
351,351,802,
352,352,741,
353,353,763,
354,354,809,
355,355,742,
356,356,738,
357,357,752,
358,358,737,
359,359,769,
360,360,751,
361,361,764,
362,362,730,
363,363,763,
364,364,746,
365,365,722,
366,366,742,
367,367,746,
368,368,800,
369,369,747,
370,370,783,
371,371,752,
372,372,702,
373,373,737,
374,374,745,
375,375,734,
376,376,736,
377,377,734,
378,378,755,
379,379,728,
380,380,706,
381,381,719,
382,382,728,
383,383,733,
384,384,768,
385,385,718,
386,386,674,
387,387,682,
388,388,695,
389,389,611,
390,390,661,
391,391,646,
392,392,676,
393,393,618,
394,394,650,
395,395,607,
396,396,625,
397,397,634,
398,398,647,
399,399,627,
400,400,630,
401,401,543,
402,402,563,
403,403,562,
404,404,575,
405,405,516,
406,406,548,
407,407,589,
408,408,576,
409,409,553,
410,410,546,
411,411,517,
412,412,501,
413,413,539,
414,414,500,
415,415,536,
416,416,560,
417,417,488,
418,418,507,
419,419,544,
420,420,498,
421,421,485,
422,422,504,
423,423,491,
424,424,504,
425,425,500,
426,426,505,
427,427,517,
428,428,468,
429,429,511,
430,430,492,
431,431,470,
432,432,503,
433,433,497,
434,434,488,
435,435,467,
436,436,422,
437,437,454,
438,438,478,
439,439,476,
440,440,438,
441,441,497,
442,442,476,
443,443,471,
444,444,497,
445,445,416,
446,446,444,
447,447,448,
448,448,435,
449,449,443,
450,450,442,
451,451,421,
452,452,424,
453,453,423,
454,454,460,
455,455,407,
456,456,439,
457,457,428,
458,458,427,
459,459,425,
460,460,427,
461,461,405,
462,462,420,
463,463,434,
464,464,412,
465,465,401,
466,466,423,
467,467,397,
468,468,412,
469,469,408,
470,470,405,
471,471,394,
472,472,398,
473,473,399,
474,474,423,
475,475,439,
476,476,414,
477,477,432,
478,478,399,
479,479,408,
480,480,417,
481,481,424,
482,482,439,
483,483,390,
484,484,396,
485,485,461,
486,486,436,
487,487,399,
488,488,385,
489,489,450,
490,490,434,
491,491,399,
492,492,407,
493,493,388,
494,494,395,
495,495,438,
496,496,402,
497,497,395,
498,498,379,
499,499,364,
500,500,383,
501,501,390,
502,502,378,
503,503,423,
504,504,393,
505,505,396,
506,506,411,
507,507,387,
508,508,362,
509,509,341,
510,510,369,
511,511,411,
512,512,400,
513,513,416,
514,514,413,
515,515,381,
516,516,403,
517,517,376,
518,518,404,
519,519,397,
520,520,443,
521,521,396,
522,522,434,
523,523,408,
524,524,447,
525,525,423,
526,526,464,
527,527,419,
528,528,414,
529,529,406,
530,530,455,
531,531,404,
532,532,450,
533,533,465,
534,534,418,
535,535,478,
536,536,449,
537,537,469,
538,538,440,
539,539,474,
540,540,459,
541,541,424,
542,542,468,
543,543,449,
544,544,478,
545,545,450,
546,546,436,
547,547,450,
548,548,457,
549,549,486,
550,550,458,
551,551,466,
552,552,490,
553,553,434,
554,554,423,
555,555,399,
556,556,469,
557,557,444,
558,558,409,
559,559,413,
560,560,382,
561,561,405,
562,562,395,
563,563,434,
564,564,375,
565,565,383,
566,566,379,
567,567,353,
568,568,412,
569,569,373,
570,570,376,
571,571,347,
572,572,333,
573,573,351,
574,574,347,
575,575,330,
576,576,338,
577,577,321,
578,578,313,
579,579,317,
580,580,314,
581,581,337,
582,582,325,
583,583,315,
584,584,297,
585,585,341,
586,586,331,
587,587,312,
588,588,313,
589,589,265,
590,590,318,
591,591,285,
592,592,303,
593,593,280,
594,594,286,
595,595,303,
596,596,307,
597,597,282,
598,598,274,
599,599,327,
600,600,306,
601,601,282,
602,602,272,
603,603,284,
604,604,267,
605,605,270,
606,606,281,
607,607,296,
608,608,296,
609,609,284,
610,610,302,
611,611,278,
612,612,278,
613,613,310,
614,614,276,
615,615,303,
616,616,287,
617,617,299,
618,618,327,
619,619,281,
620,620,305,
621,621,324,
622,622,262,
623,623,310,
624,624,311,
625,625,296,
626,626,287,
627,627,308,
628,628,301,
629,629,314,
630,630,278,
631,631,316,
632,632,271,
633,633,295,
634,634,281,
635,635,293,
636,636,308,
637,637,306,
638,638,288,
639,639,313,
640,640,313,
641,641,345,
642,642,301,
643,643,295,
644,644,316,
645,645,322,
646,646,312,
647,647,307,
648,648,297,
649,649,291,
650,650,289,
651,651,275,
652,652,275,
653,653,260,
654,654,293,
655,655,254,
656,656,300,
657,657,268,
658,658,287,
659,659,259,
660,660,269,
661,661,299,
662,662,281,
663,663,262,
664,664,236,
665,665,260,
666,666,239,
667,667,239,
668,668,232,
669,669,229,
670,670,253,
671,671,259,
672,672,241,
673,673,255,
674,674,253,
675,675,216,
676,676,252,
677,677,258,
678,678,234,
679,679,222,
680,680,221,
681,681,237,
682,682,263,
683,683,241,
684,684,219,
685,685,233,
686,686,207,
687,687,199,
688,688,220,
689,689,264,
690,690,211,
691,691,215,
692,692,229,
693,693,215,
694,694,213,
695,695,198,
696,696,229,
697,697,249,
698,698,221,
699,699,228,
700,700,208,
701,701,228,
702,702,210,
703,703,219,
704,704,229,
705,705,191,
706,706,220,
707,707,229,
708,708,189,
709,709,207,
710,710,218,
711,711,247,
712,712,222,
713,713,217,
714,714,206,
715,715,212,
716,716,181,
717,717,205,
718,718,196,
719,719,189,
720,720,187,
721,721,213,
722,722,179,
723,723,175,
724,724,193,
725,725,184,
726,726,164,
727,727,204,
728,728,184,
729,729,213,
730,730,209,
731,731,205,
732,732,211,
733,733,196,
734,734,206,
735,735,188,
736,736,187,
737,737,182,
738,738,198,
739,739,216,
740,740,228,
741,741,209,
742,742,193,
743,743,198,
744,744,189,
745,745,184,
746,746,171,
747,747,198,
748,748,173,
749,749,178,
750,750,184,
751,751,197,
752,752,200,
753,753,179,
754,754,141,
755,755,201,
756,756,197,
757,757,192,
758,758,185,
759,759,173,
760,760,190,
761,761,170,
762,762,175,
763,763,177,
764,764,192,
765,765,183,
766,766,185,
767,767,198,
768,768,196,
769,769,181,
770,770,207,
771,771,184,
772,772,175,
773,773,203,
774,774,177,
775,775,174,
776,776,166,
777,777,161,
778,778,165,
779,779,196,
780,780,183,
781,781,194,
782,782,186,
783,783,189,
784,784,171,
785,785,196,
786,786,161,
787,787,182,
788,788,185,
789,789,168,
790,790,209,
791,791,195,
792,792,182,
793,793,183,
794,794,174,
795,795,164,
796,796,152,
797,797,209,
798,798,195,
799,799,175,
800,800,158,
801,801,153,
802,802,172,
803,803,175,
804,804,170,
805,805,170,
806,806,173,
807,807,182,
808,808,200,
809,809,132,
810,810,138,
811,811,178,
812,812,181,
813,813,181,
814,814,171,
815,815,178,
816,816,173,
817,817,183,
818,818,177,
819,819,176,
820,820,190,
821,821,168,
822,822,158,
823,823,156,
824,824,181,
825,825,156,
826,826,168,
827,827,163,
828,828,159,
829,829,147,
830,830,161,
831,831,144,
832,832,148,
833,833,169,
834,834,166,
835,835,153,
836,836,150,
837,837,167,
838,838,165,
839,839,165,
840,840,179,
841,841,169,
842,842,157,
843,843,164,
844,844,159,
845,845,160,
846,846,175,
847,847,150,
848,848,179,
849,849,154,
850,850,163,
851,851,158,
852,852,144,
853,853,160,
854,854,144,
855,855,174,
856,856,163,
857,857,149,
858,858,151,
859,859,154,
860,860,143,
861,861,148,
862,862,154,
863,863,146,
864,864,145,
865,865,159,
866,866,150,
867,867,156,
868,868,146,
869,869,165,
870,870,162,
871,871,168,
872,872,159,
873,873,155,
874,874,179,
875,875,163,
876,876,143,
877,877,153,
878,878,129,
879,879,147,
880,880,145,
881,881,153,
882,882,136,
883,883,148,
884,884,118,
885,885,154,
886,886,140,
887,887,154,
888,888,153,
889,889,139,
890,890,131,
891,891,145,
892,892,152,
893,893,166,
894,894,135,
895,895,143,
896,896,143,
897,897,150,
898,898,149,
899,899,157,
900,900,145,
901,901,135,
902,902,151,
903,903,153,
904,904,139,
905,905,159,
906,906,146,
907,907,170,
908,908,129,
909,909,157,
910,910,147,
911,911,169,
912,912,140,
913,913,159,
914,914,145,
915,915,127,
916,916,165,
917,917,164,
918,918,165,
919,919,148,
920,920,154,
921,921,132,
922,922,124,
923,923,133,
924,924,138,
925,925,137,
926,926,138,
927,927,162,
928,928,141,
929,929,125,
930,930,143,
931,931,138,
932,932,131,
933,933,132,
934,934,154,
935,935,124,
936,936,142,
937,937,147,
938,938,158,
939,939,149,
940,940,147,
941,941,167,
942,942,125,
943,943,154,
944,944,139,
945,945,151,
946,946,156,
947,947,134,
948,948,144,
949,949,155,
950,950,146,
951,951,145,
952,952,134,
953,953,156,
954,954,144,
955,955,136,
956,956,144,
957,957,151,
958,958,156,
959,959,167,
960,960,177,
961,961,147,
962,962,145,
963,963,155,
964,964,135,
965,965,135,
966,966,124,
967,967,149,
968,968,133,
969,969,161,
970,970,153,
971,971,121,
972,972,151,
973,973,156,
974,974,148,
975,975,117,
976,976,145,
977,977,140,
978,978,142,
979,979,130,
980,980,127,
981,981,144,
982,982,130,
983,983,126,
984,984,128,
985,985,131,
986,986,118,
987,987,113,
988,988,150,
989,989,134,
990,990,125,
991,991,150,
992,992,140,
993,993,139,
994,994,128,
995,995,148,
996,996,151,
997,997,145,
998,998,151,
999,999,139,
1000,1000,154,
1001,1001,137,
1002,1002,151,
1003,1003,133,
1004,1004,131,
1005,1005,133,
1006,1006,135,
1007,1007,114,
1008,1008,131,
1009,1009,110,
1010,1010,138,
1011,1011,141,
1012,1012,113,
1013,1013,161,
1014,1014,129,
1015,1015,131,
1016,1016,131,
1017,1017,124,
1018,1018,130,
1019,1019,126,
1020,1020,145,
1021,1021,122,
1022,1022,121,
1023,1023,130,
1024,1024,124,
1025,1025,137,
1026,1026,117,
1027,1027,133,
1028,1028,147,
1029,1029,123,
1030,1030,113,
1031,1031,130,
1032,1032,112,
1033,1033,129,
1034,1034,131,
1035,1035,107,
1036,1036,121,
1037,1037,111,
1038,1038,108,
1039,1039,125,
1040,1040,128,
1041,1041,112,
1042,1042,105,
1043,1043,122,
1044,1044,120,
1045,1045,120,
1046,1046,102,
1047,1047,111,
1048,1048,119,
1049,1049,112,
1050,1050,115,
1051,1051,111,
1052,1052,112,
1053,1053,88,
